Article ID,Article Title,User Name,Resolve?,Include,Search Engine,Exclusion stage,Reason for exclusion,Details of reason for exclusion if other,Article Topic: notes,Year of publication,Country of Primary Author,Study Location Name,Study Country,Study Location Coordinates (Decimal Degrees),Study length (years),Starting year of data collection,Number of study species,Species family,Species Latin Name(s),Conservation status(es),Sample size (individuals),Sample size (colonies),Sample size (other),Research Focus,Research Focus if other or additional details,Source of seabird location information.,Source of seabird location information if other,Tracking accuracy (m),Temporal resolution of tracking data, Type of remote sensing,Type of remote sensing if other,Repository (website) source of remotely sensed data,Satellite Source/Space Agency,Satellite platform for remote sensing data,Satellite sensor used,Satellite Product/Environmental Variables,Derived metrics,Non-SRS environmental variables ,Temporal Resolution of SRS (days),Spatial resolution of SRS (mxm),Satellite imagery processing/analysis software,Was satellite data verified? How?,Details of how satellite data was verified if Other,Do/How do authors account for or discuss temporal variation in environment?,Analytical method for linking movement and environment,Do the authors make or discuss specific predicted changes in seabird ecology,Link to policy or conservation,Additional notes,User Note,Title,Journal,Authors
8566727,"Spatial ecology of krill, micronekton and top predators in the central California Current: Implications for defining ecologically important areas",hannah.1.wood,,TRUE, WOS,,,,,2012,USA,central California current (Bodega Bay to Monterey),USA,,13,1997 (in situ environmental data);;;1998 (SRS data);;;1996 (seabird data),6,,Phoebastria nigripes;;;Pychoramphus aleuticus;;;Uria aalge;;;Cerorhinca monocerata;;;Puffinus griseus;;;Larus occidentalis,Endangered;;;Least Concern;;;Least Concern;;;Least Concern;;;Near Threatened;;;Least Concern,,,, Other,at-sea distribution, At-sea survey,Abundance relative to the amount of effort,NI,NI,,,(Bathymetry) www.ngdc.noaa.gov/mgg/global/global.html;;;(Eddy Kinetic Energy) www.aviso.oceanobs.com;;;(Meridional Wind Speed) http://coastwatch.pfeg.noaa.gov/erddap/,TOPO1 Global Relief Model (Bathymetry);;;AVISO (Eddy Kinetic Energy);;;NASA (Meridional Wind Speed),NI (Eddy Kinetic Energy);;;QuikSCAT  (Meridional Wind Speed),NI (Meridional Wind Speed and Eddy Kinetic Energy),"Bathymetry;;;zonal and meridional geostrophic current components, sea surface height and geostrophic velocity to calculate Eddy Kinetic Energy;;;Meridional Wind Speed",Water depth (Bathymetry);;;sea floor slope (Bathymetry);;;distance to shore (Bathymetry);;;31 day average meridional wind speed and Eddy Kinetic Energy;;;KE = 1/2(U2+V2) whereUandVare zonal and meridional geostrophiccurrent components,,NI  (Meridional Wind Speed and Eddy Kinetic Energy),0.25 degrees (Eddy Kinetic Energy);;;NI (Meridional Wind Speed),mapped in GIS, Not Included,NI,"Despite being a multi year study and having al the data, no measures of variation/persistence, just took a mean over 9 years",Nonparametric correlation analyses (bootstrap with 5000randomizations) were used to test the hypothesis that the relativeabundance of top predators is related to principal components de-rived from environmental and micronekton seascapes.,NI,"the identification of ecologically importantareas (EIAs)  hould benefitfuture marine spatial planning off central California, however we caution against applica-tion of these findings to less than broad latitudinal considerations and to other seasons.","Chl a, SST and salinity all measured in situ with Conductivity–Temperature–Depth casts",,"Spatial ecology of krill, micronekton and top predators in the central California Current: Implications for defining ecologically important areas",Prog. Oceanogr.,"Santora, Jarrod A.; Field, John C.; Schroeder, Isaac D.; Sakuma, Keith M.; Wells, Brian K.; Sydeman, William J."
8566728,Predictions from machine learning ensembles: marine bird distribution and density on Canada's Pacific coast,hannah.1.wood,,TRUE, WOS,,,,Predictive models of seabird distribution,2017,Canada,"Queen Charlotte Basin, British Columbia",Canada,"approx 52 N, 130 W",4,2005 (seabird data);;;1993-1995 (Long term averages from sea surface height);;;1955-2006 (Long term monthly average salinity),37,,Ptychoramphus  aleuticus;;;Melanitta americana;;;Melanitta perspicillata;;;Melanitta deglandi;;;Synthliboramphus antiquus;;;Uria aalge;;;Brachyramphus marmoratus;;;Cepphus columba;;;Cerorhinca monocerata;;;Fratercula cirrhata;;;Larus californicus;;;Larus glaucescens;;;Larus smithsonianus;;;Larus thayeri;;;Rissa tridactyla;;;Larus philadelphia;;;Larus canus;;;Xema sabini;;;Phalaropus lobatus;;;Gavia immer;;;Gavia pacifica;;;Gavia stellata;;;Gavia adamsii;;;Phalacrocorax penicillatus;;;Phalacrocorax auritus;;;Phalacrocorax pelagicus;;;Podiceps auritus;;;Podiceps grisegena;;;Aechmophorus occidentalis;;;Phoebastria nigripes;;;Hydrobates furcatus;;;Hydrobates leucorhous;;;Fulmarus glacialis;;;Ardenna creatopus;;;Ardenna carneipes;;;Ardenna tenuirostris;;;Ardenna grisea,Near Threatened;;;Near Threatened;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Endangered;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Least Concern;;;Near Threatened;;;Least Concern;;;Least Concern;;;Least Concern;;;Vulnerable;;;Least Concern;;;Least Concern;;;Near Threatened;;;Least Concern;;;Least Concern;;;Least Concern;;;Vulnerable;;;Least Concern;;;Least Concern;;;Near Threatened,,,3 seasons, Other,At-sea distribution, At-sea survey,,1000,1 - 3 months, Satellite,,"bathymetry: BC Marine Conservation Analysis (SciTech Con-sulting and Living Oceans Society; www.bcmca.ca;;;Distances from key locations: DataBC (Freshwater Atlas Coastlines; apps. gov.bc.ca);;;Distance to current Benthic  Marine  Ecounits—Coastal  Re -source  Information  Management  System  (DataBC;apps.gov.bc.ca;;;Tidal current speed: 3D circulation model for the Northeastern Paci ficOcean and provided as a raster (Foreman et al. 2000;www.bcmca.ca;;;dictance to town: Google search (www.google.ca);;;distance to colony: Canadian Wildlife Service, Washington De-partment of Fish and Game, and the Seabird Informa-tion  Network;  axiom.seabirds.net/portal.php);;;All SRS data: CoastWatch (http://coastwatch.pfeg.noaa.gov);;;Long-term Salinity and SST WorldOcean Database (www.nodc.noaa.gov)","NASA (chl a, SST, wind speed)",Aqua (chla);;;QuikSCAT (wind speed);;;AVISO ( SSHA and SSHD),MODIS (chla);;;SeaWinds (wind speed),Bathymetry;;;Chl a;;;SST;;;Monthly average sea surface wind speed (m s−1);;;wind direction;;;sea surface height absolute (SSHA);;;sea surface height deviation (SSHD),"Averaged values per 1km;;;Slope (of sea floor);;;Benthic terrain ruggedness;;;Distance tocoast (distance to closest coastline feature;;;Distance to high-current regions (>3 knot cur-rent),;;;Tidal  current  speed  (root  meansquare of average tidal speed, m s−1);;;Distance to estuary;;;Distance to glaciers;;;Distance to continental shelf;;;Distance to town;;;distance  to  colony;;;chl a gradient;;;Distances to persistent SST fronts;;;monthly  averaged  long-termSST (LT-SST;;;Monthly averaged long-termsalinity  (LT-Sal",,30 (SRS data),15x15,"ArcGIS 10.1 (ESRI);;;SST rasters using the MGETs Cayula-Cornillon  Single  Image  Edge  Detection  algorithm(v0.8a53);;;The front probability index (FPI; Breaker et al.2005), which identifies the probability of front pres-ence over the month time period, was derived from‘front count’ and ‘candidate count’ outputs generatedby the MGETs Cayula-Cornillon Single Image De -tection  algorithm  (v0.8a53)", Not Included,,For SST and salinity long-term averages,"Machine learning:  ensemble modeling;;;Salford Systems Predictive Mod-eler v7.0 (SPM7; see also Drew et al. 2011), which of -fers sophisticated optimizations and summary graph-ics not always available in equivalent R software, werelied on 4 machine learning approaches: RF, TN,MARS, and CART",NI,"In conjunction with information on breed-ing colonies, MPAs, important bird areas, and otherareas important for marine birds, this information canbe used to inform emergency responses, assessmentsof risk (e.g. chronic oil pollution; Fox et al. 2016),MPA planning, MSPs, including the Marine PlanningPartnership for the North Pacific Coast, and more",Lots of detail on the 4 machine learning methods.,,Predictions from machine learning ensembles: marine bird distribution and density on Canada's Pacific coast,Mar. Ecol.-Prog. Ser.,"Fox, C. H.; Huettmann, F. H.; Harvey, G. K. A.; Morgan, K. H.; Robinson, J.; Williams, R.; Paquet, P. C."
8566729,Spatial distribution of foraging in female Antarctic fur seals Arctocephalus gazella in relation to oceanographic variables: a scale-dependent approach using geographic information systems,hannah.1.wood,,FALSE, WOS,Title/Abstract, Not about seabird ecology,,Antarctic fur seals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spatial distribution of foraging in female Antarctic fur seals Arctocephalus gazella in relation to oceanographic variables: a scale-dependent approach using geographic information systems,Mar. Ecol.-Prog. Ser.,"Guinet, C.; Dubroca, L.; Lea, M. A.; Goldsworthy, S.; Cherel, Y.; Duhamel, G.; Bonadonna, F.; Donnay, J. P."
8566730,"Foraging distribution of Cape gannets in relation to oceanographic features, prey availability and marine protected areas",hannah.1.wood,,TRUE, WOS,,,,,2015,South Africa,"Bird  Island, Algoa  Bay",South  Africa,"3° 50’ 26” S,26° 17’ 10” E",3,2010,1,Sulidae,Morus  capensis,,NI,,105 tracks,Foraging Location/Distribution,,Satellite tag/GPS tag,,NI,5-10 seconds,,,http://oceancolor.gsfc.nasa.gov (SST and  chl);;;global digital elevation model (DEM) GTOPO3  (bathymetry),NASA (SST and  chl),Aqua   (SST and  chl),MODIS  (SST and  chl),daily SST;;;daily Chl a;;;Bathymetry,Slope of sea floor,,1,"1000 x 1000 (SST, chl and bathymetry",Bathymetry: Estimates  of slope were generated from the DEM using the spatial analyst extension in ArcMap 10.1., Not Included,NI,They don't: Only use exact corresponding values for that day,"Home ranges were generated by meansof a Kernel Home Range analysis using the package‘adehabitatHR’  in  R,  with  the  ad  hoc  method  as  asmoothing  parameter.  Two  contour  levels  were  se-lected to represent the total (95%) and the core (50%)ranges  of  the  colony.  Areas  (km2)  were  then  calcu-lated for both levels (95 and 50%) as a basic means ofassessing annual change;;;Foraging  locations,  or  positions  of  area-restrictedsearch  (ARS),  can  be  isolated  by  means  of  a  track sinuosity  index;;;To assess habitatselectivity,  the  conditions  experienced  by  foraginggannets were compared against the conditions avail-able within the breeding home range. For this, a ran-dom dataset of 10 000 points was created within thecalculated  home  range  of  the  colony  during  each breeding  season.;;;For  every  presence  location,  3  points  withassociated physical conditions were randomly selec -ted  from  the  random  dataset  of  the  same  day.  Weused  a  binomial  generalised  linear  mixed  effects model (package ‘lme4’ in R) to assess differences inphysical conditions between where birds were present and random points;;;Resultant data were then modelled as afunction  of  SST,  chla,  bathymetry  and  slope,  usingbreeding  season,  date  and  individual  as  random  ef  -fects.  The  model  was  assessed  using  the  ‘dredge’function,  and  the  resultant  model  with  the  lowestAkaike’s   information   criterion   (AIC)   value   wasselected.;;;Very little information about the results of the model.","Should such distributional changes persist, the2 dominant prey groups could potentially move out ofthe foraging range of breeding Cape gannets. Prolonged  distributional  contractions  ofprey  out  of  the  Cape  gannet  foraging  range  coulddrive   gannets   to   scavenge   for   fishery   discards,which  are  both  energy  poor  and  sub-optimal","Due to the dynamic nature of their prey,the current MPA network is unlikely to provide muchbenefit  for  foraging  gannets.  While  implementationof   the   proposed   GAENP   MPA   expansion   willincrease the level of overlap with foraging gannets, itis  unlikely  to  significantly  improve  feeding  condi-tions due to the spatial mismatch of core gannet for-aging  areas  and  MPA  positioning  and  the  observedlow densities of prey within the MPA boundaries",Mention the no. of tracks but not the number of individuals although it is included in the modelling,,"Foraging distribution of Cape gannets in relation to oceanographic features, prey availability and marine protected areas",Mar. Ecol.-Prog. Ser.,"Green, David B.; Coetzee, Janet C.; Rishworth, Gavin M.; Pistorius, Pierre A."
8566731,Mesoscale eddies release pelagic sharks from thermal constraints to foraging in the ocean twilight zone,hannah.1.wood,,FALSE, WOS,Title/Abstract, Not about seabird ecology,,pelagic sharks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mesoscale eddies release pelagic sharks from thermal constraints to foraging in the ocean twilight zone,Proc. Natl. Acad. Sci. U. S. A.,"Braun, Camrin D.; Gaube, Peter; Sinclair-Taylor, Tane H.; Skomal, Gregory B.; Thorrold, Simon R."
8566732,Use of plane-laboratories in aerial survey of marine birds and mammals over the Arctic seas areas,hannah.1.wood,,FALSE, WOS,Title/Abstract, Other: describe below,Full text unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Use of plane-laboratories in aerial survey of marine birds and mammals over the Arctic seas areas,Zool. Zhurnal,"Krasnov, Y. V.; Chernook, V. I.; Gavrilo, M. V.; Shavykin, A. A.; Tereshchenko, V. A."
8566733,Revealing the timing of ocean stratification using remotely-sensed ocean fronts,hannah.1.wood,,FALSE, WOS,Title/Abstract, Not about seabird ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revealing the timing of ocean stratification using remotely-sensed ocean fronts,"Remote Sensing of the Ocean, Sea Ice, Coastal Waters, and Large Water Regions 2017","Miller, Peter I.; Loveday, Benjamin R.; Bostater, C. R.; Mertikas, S. P.; Neyt, X.; Babichenko, S."
8566734,Field Deployments of a Self-Contained Subsea Platform for Acoustic Monitoring of the Environment around Marine Renewable Energy Structures,hannah.1.wood,,FALSE, WOS, Main Body, Not about use of satellite remote sensing for studying seabird ecology,methods paper not a study of seabirds ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Field Deployments of a Self-Contained Subsea Platform for Acoustic Monitoring of the Environment around Marine Renewable Energy Structures,2014 Oceans - St. John's,"Williamson, B. J.; Scott, B. E.; Waggitt, J. J.; Blondel, Ph; Hall, C.; Armstrong, E.; Bell, P. S."
8566735,"Seasonal variation in blood and muscle oxygen stores attributed to diving behavior, environmental temperature and pregnancy in a marine predator, the California sea lion",hannah.1.wood,,FALSE, WOS,Title/Abstract, Not about seabird ecology,,sealion study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Seasonal variation in blood and muscle oxygen stores attributed to diving behavior, environmental temperature and pregnancy in a marine predator, the California sea lion",Comp. Biochem. Physiol. A-Mol. Integr. Physiol.,"Villegas-Amtmann, Stella; Atkinson, Shannon; Paras-Garcia, Alberto; Costa, Daniel P."
8566736,Atmospheric concentrations of ammonia and nitrogen dioxide at a tropical coral cay with high seabird density,hannah.1.wood,,FALSE, WOS, Main Body, Not about use of satellite remote sensing for studying seabird ecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atmospheric concentrations of ammonia and nitrogen dioxide at a tropical coral cay with high seabird density,J. Environ. Monit.,"Schmidt, Susanne; Mackintosh, Katrina; Gillett, Rob; Pudmenzky, Alex; Allen, Diane E.; Rennenberg, Heinz; Mueller, Jochen F."
